T,sx,sx_gs,sy,sy_gs,sz,sz_gs
0.001,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.0011497569953977356,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.0013219411484660286,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.0015199110829529332,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.001747528400007683,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.002009233002565048,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.0023101297000831605,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.0026560877829466868,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.0030538555088334154,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.003511191734215131,NaN,-7.339913348183305e-14,NaN,0.0,NaN,-0.406818341223267
0.004037017258596553,-5.530670138484496e-14,-7.339913348183305e-14,0.0,0.0,-0.406818341223263,-0.406818341223267
0.004641588833612777,-5.530670138484495e-14,-7.339913348183305e-14,0.0,0.0,-0.40681834122326277,-0.406818341223267
0.005336699231206307,-5.530670138484496e-14,-7.339913348183305e-14,0.0,0.0,-0.406818341223263,-0.406818341223267
0.006135907273413176,-5.530670138484496e-14,-7.339913348183305e-14,0.0,0.0,-0.406818341223263,-0.406818341223267
0.007054802310718645,-5.530670138484496e-14,-7.339913348183305e-14,0.0,0.0,-0.406818341223263,-0.406818341223267
0.008111308307896872,-5.530670138484496e-14,-7.339913348183305e-14,0.0,0.0,-0.406818341223263,-0.406818341223267
0.0093260334688322,-5.530670138484492e-14,-7.339913348183305e-14,0.0,0.0,-0.4068183412232627,-0.406818341223267
0.010722672220103232,-5.530670138484237e-14,-7.339913348183305e-14,0.0,0.0,-0.406818341223239,-0.406818341223267
0.012328467394420659,-5.530670138471229e-14,-7.339913348183305e-14,0.0,0.0,-0.40681834122202803,-0.406818341223267
0.014174741629268055,-5.530670138076876e-14,-7.339913348183305e-14,0.0,0.0,-0.4068183411853143,-0.406818341223267
0.016297508346206444,-5.5306701304671954e-14,-7.339913348183305e-14,0.0,0.0,-0.40681834047686793,-0.406818341223267
0.01873817422860384,-5.5306700315088925e-14,-7.339913348183305e-14,0.0,0.0,-0.4068183312640384,-0.406818341223267
0.021544346900318832,-5.530669119950522e-14,-7.339913348183305e-14,0.0,0.0,-0.40681824639969183,-0.406818341223267
0.024770763559917114,-5.530662907620774e-14,-7.339913348183305e-14,0.0,0.0,-0.4068176680436367,-0.406818341223267
0.02848035868435802,-5.530630370836948e-14,-7.339913348183305e-14,0.0,0.0,-0.40681463893109593,-0.406818341223267
0.03274549162877728,-5.530494981958861e-14,-7.339913348183305e-14,0.0,0.0,-0.4068020344846736,-0.406818341223267
0.037649358067924674,-5.53003420464734e-14,-7.339913348183305e-14,0.0,0.0,-0.4067591369954716,-0.406818341223267
0.04328761281083059,-5.5287187440083643e-14,-7.339913348183305e-14,0.0,0.0,-0.4066366701179901,-0.406818341223267
0.049770235643321115,-5.525498880251378e-14,-7.339913348183305e-14,0.0,0.0,-0.4063369069410852,-0.406818341223267
0.05722367659350217,-5.5186139821655983e-14,-7.339913348183305e-14,0.0,0.0,-0.40569593605578536,-0.406818341223267
0.0657933224657568,-5.505548225498953e-14,-7.339913348183305e-14,0.0,0.0,-0.4044795390207981,-0.406818341223267
0.07564633275546291,-5.483247536578306e-14,-7.339913348183305e-14,0.0,0.0,-0.4024033873999362,-0.406818341223267
0.08697490026177834,-5.4486295399885995e-14,-7.339913348183305e-14,0.0,0.0,-0.3991805179188208,-0.406818341223267
0.1,-5.399283225332804e-14,-7.339913348183305e-14,0.0,0.0,-0.39458647010735776,-0.406818341223267
0.11497569953977356,-5.3341346500416225e-14,-7.339913348183305e-14,0.0,0.0,-0.38852126199237164,-0.406818341223267
0.1321941148466029,-5.2538284750382986e-14,-7.339913348183305e-14,0.0,0.0,-0.38104491086393655,-0.406818341223267
0.15199110829529336,-5.160677521459673e-14,-7.339913348183305e-14,0.0,0.0,-0.37237274301343054,-0.406818341223267
0.17475284000076838,-5.058213333718993e-14,-7.339913348183305e-14,0.0,0.0,-0.3628335978198243,-0.406818341223267
0.20092330025650468,-4.9505217585015e-14,-7.339913348183305e-14,0.0,0.0,-0.3528082264423384,-0.406818341223267
0.23101297000831597,-4.841586462537387e-14,-7.339913348183305e-14,0.0,0.0,-0.34266923829702695,-0.406818341223267
0.2656087782946686,-4.734789581612322e-14,-7.339913348183305e-14,0.0,0.0,-0.33273805782615523,-0.406818341223267
0.30538555088334157,-4.632593153147264e-14,-7.339913348183305e-14,0.0,0.0,-0.3232641571495677,-0.406818341223267
0.35111917342151316,-4.5363162175260275e-14,-7.339913348183305e-14,0.0,0.0,-0.3144227814421085,-0.406818341223267
0.40370172585965547,-4.4458826831788776e-14,-7.339913348183305e-14,0.0,0.0,-0.30632208726966914,-0.406818341223267
0.4641588833612779,-4.359479567598504e-14,-7.339913348183305e-14,0.0,0.0,-0.29900980137610544,-0.406818341223267
0.533669923120631,-4.273227165717306e-14,-7.339913348183305e-14,0.0,0.0,-0.29247297237954295,-0.406818341223267
0.6135907273413173,-4.1811315529901186e-14,-7.339913348183305e-14,0.0,0.0,-0.2866304682267838,-0.406818341223267
0.7054802310718643,-4.0756155944498e-14,-7.339913348183305e-14,0.0,0.0,-0.28132361564525116,-0.406818341223267
