T,sz
0.001,-1.0
0.0011497569953977356,-1.0
0.0013219411484660286,-1.0
0.0015199110829529332,-1.0
0.001747528400007683,-1.0
0.002009233002565048,-1.0
0.0023101297000831605,-1.0
0.0026560877829466868,-1.0
0.0030538555088334154,-1.0
0.003511191734215131,-1.0
0.004037017258596553,-1.0
0.004641588833612777,-1.0
0.005336699231206307,-1.0
0.006135907273413176,-1.0
0.007054802310718645,-1.0
0.008111308307896872,-1.0
0.0093260334688322,-1.0
0.010722672220103232,-1.0
0.012328467394420659,-1.0
0.014174741629268055,-1.0
0.016297508346206444,-1.0
0.01873817422860384,-1.0
0.021544346900318832,-1.0
0.024770763559917114,-1.0
0.02848035868435802,-1.0
0.03274549162877728,-1.0
0.037649358067924674,-1.0
0.04328761281083059,-1.0
0.049770235643321115,-1.0
0.05722367659350217,-0.9999999999999987
0.0657933224657568,-0.9999999999998743
0.07564633275546291,-0.9999999999934114
0.08697490026177834,-0.9999999997937625
0.1,-0.9999999958776927
0.11497569953977356,-0.9999999442190207
0.1321941148466029,-0.9999994623831145
0.15199110829529336,-0.9999961426079644
0.17475284000076838,-0.9999785888521451
0.20092330025650468,-0.9999049347900997
0.23101297000831597,-0.9996524316358323
0.2656087782946686,-0.9989269616726493
0.30538555088334157,-0.9971412806306615
0.35111917342151316,-0.9933042217435107
0.40370172585965547,-0.9859907131454675
0.4641588833612779,-0.9734594443576854
0.533669923120631,-0.9539389476462303
0.6135907273413173,-0.9260260895893317
0.7054802310718643,-0.8890708145509104
0.8111308307896871,-0.8434030730603137
0.9326033468832199,-0.7903138714642864
1.0722672220103233,-0.7318053542578762
1.2328467394420661,-0.6702136089005504
1.4174741629268053,-0.6078347790620061
1.6297508346206442,-0.5466497644555743
1.8738174228603839,-0.48818139811974437
2.154434690031884,-0.433467744474557
2.4770763559917106,-0.3831118395472512
2.8480358684358014,-0.3373677110284526
3.2745491628777286,-0.29623336149143775
3.7649358067924683,-0.25953408582787313
4.328761281083058,-0.22698935048979366
4.977023564332112,-0.19826248953069736
5.722367659350217,-0.17299540495022075
6.579332246575681,-0.1508314259395412
7.564633275546289,-0.13142941649710488
8.697490026177835,-0.11447172723139609
10.0,-0.09966799462495582
11.497569953977356,-0.08675625076437375
13.219411484660288,-0.07550237022639134
15.199110829529339,-0.0656985520288662
17.47528400007684,-0.05716129771654603
20.09233002565047,-0.04972918142929576
23.101297000831593,-0.04326059536659335
26.560877829466868,-0.03763157915088151
30.538555088334157,-0.03273379267406654
35.11191734215131,-0.028472660749627638
40.37017258596554,-0.024765698432802984
46.4158883361278,-0.02154101418574776
53.3669923120631,-0.018735981425828507
61.35907273413173,-0.016296065579063868
70.54802310718642,-0.014173792360270606
81.11308307896873,-0.012327842826584513
93.26033468832199,-0.01072226129008886
107.22672220103232,-0.009325763101294675
123.28467394420659,-0.008111130422603963
141.74741629268047,-0.007054685273324163
162.97508346206433,-0.006135830270249488
187.3817422860385,-0.005336648568080703
215.44346900318845,-0.0046415555005666995
247.70763559917114,-0.0040369953276320324
284.8035868435802,-0.0035111773050820164
327.45491628777285,-0.003053846015415935
376.49358067924675,-0.0026560815369062363
432.8761281083057,-0.0023101255906028016
497.70235643321087,-0.002009230298799978
572.236765935022,-0.0017475266211101122
657.9332246575682,-0.00151990991255677
756.463327554629,-0.0013219403784233336
869.7490026177834,-0.001149756488760976
1000.0,-0.0009999996666668
