T,sx,sx_gs,sy,sy_gs,sz,sz_gs
0.001,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0011768119524349979,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0013848863713938732,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0016297508346206436,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0019179102616724887,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.002257019719633919,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0026560877829466868,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0031257158496882354,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0036783797718286343,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.004328761281083057,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.0050941380148163806,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.005994842503189409,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.007054802310718645,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.008302175681319744,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.009770099572992257,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.011497569953977356,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.013530477745798068,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.015922827933410922,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.01873817422860384,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.022051307399030457,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.02595024211399736,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.030538555088334154,NaN,8.413138536410772e-17,NaN,0.0,NaN,-0.4104202518328653
0.03593813663804628,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.04229242874389499,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.049770235643321115,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.05857020818056667,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.06892612104349699,-7.969445855239299e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328648,-0.4104202518328653
0.08111308307896872,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.09545484566618342,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.11233240329780274,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.1321941148466029,-7.969445855239284e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.1555676143930472,-7.969445855239299e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328648,-0.4104202518328653
0.18307382802953684,-7.969445855239299e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328648,-0.4104202518328653
0.2154434690031884,-7.969445855239287e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518328649,-0.4104202518328653
0.2535364493970112,-7.969445855238215e-18,8.413138536410772e-17,0.0,0.0,-0.41042025183286307,-0.4104202518328653
0.29836472402833386,-7.969445855080202e-18,8.413138536410772e-17,0.0,0.0,-0.41042025183259706,-0.4104202518328653
0.35111917342151316,-7.969445843993443e-18,8.413138536410772e-17,0.0,0.0,-0.4104202518139383,-0.4104202518328653
0.4132012400115337,-7.969445435989306e-18,8.413138536410772e-17,0.0,0.0,-0.4104202511272796,-0.4104202518328653
0.4862601580065353,-7.969436780298853e-18,8.413138536410772e-17,0.0,0.0,-0.41042023656000953,-0.4104202518328653
0.5722367659350217,-7.969322095466404e-18,8.413138536410772e-17,0.0,0.0,-0.4104200435488412,-0.4104202518328653
0.6734150657750821,-7.968306067840879e-18,8.413138536410772e-17,0.0,0.0,-0.4104183336045203,-0.4104202518328653
0.7924828983539173,-7.961926398698995e-18,8.413138536410772e-17,0.0,0.0,-0.4104075968121015,-0.4104202518328653
0.9326033468832199,-7.932085539863847e-18,8.413138536410772e-17,0.0,0.0,-0.410357375618164,-0.4104202518328653
1.0974987654930561,-7.823590266973872e-18,8.413138536410772e-17,0.0,0.0,-0.4101747841906186,-0.4104202518328653
1.2915496650148839,-7.50568876427996e-18,8.413138536410772e-17,0.0,0.0,-0.4096398229324662,-0.4104202518328653
1.5199110829529336,-6.731688767206994e-18,8.413138536410772e-17,0.0,0.0,-0.4083379293343699,-0.4104202518328653
1.788649529057435,-5.12433790798915e-18,8.413138536410772e-17,0.0,0.0,-0.4056389992706616,-0.4104202518328653
2.1049041445120205,-2.2095940388355103e-18,8.413138536410772e-17,0.0,0.0,-0.40077137491432985,-0.4104202518328653
