T,sxGS,syGS,szGS
0.001,0.0,0.0,1.0
0.001059560179277616,0.0,0.0,1.0
0.0011226677735108135,0.0,0.0,1.0
0.0011895340673703195,0.0,0.0,1.0
0.0012603829296797275,0.0,0.0,1.0
0.0013354515629298987,0.0,0.0,1.0
0.0014149912974345759,0.0,0.0,1.0
0.0014992684327860455,0.0,0.0,1.0
0.0015885651294280528,0.0,0.0,1.0
0.0016831803533309566,0.0,0.0,1.0
0.0017834308769319094,0.0,0.0,1.0
0.0018896523396912095,0.0,0.0,1.0
0.0020022003718155844,0.0,0.0,1.0
0.00212145178491063,0.0,0.0,1.0
0.002247805833548725,0.0,0.0,1.0
0.002381685551976158,0.0,0.0,1.0
0.0025235391704347657,0.0,0.0,1.0
0.0026738416158399465,0.0,0.0,1.0
0.002833096101839324,0.0,0.0,1.0
0.003001835813575589,0.0,0.0,1.0
0.0031806256927941192,0.0,0.0,1.0
0.003370064329271928,0.0,0.0,1.0
0.003570785964900463,0.0,0.0,1.0
0.003783462617131929,0.0,0.0,1.0
0.004008806328898464,0.0,0.0,1.0
0.0042475715525368985,0.0,0.0,1.0
0.004500557675700498,0.0,0.0,1.0
0.004768611697714469,0.0,0.0,1.0
0.00505263106533568,0.0,0.0,1.0
0.0053535666774107244,0.0,0.0,1.0
0.005672426068491977,0.0,0.0,1.0
0.006010276782070382,0.0,0.0,1.0
0.006368249944718587,0.0,0.0,1.0
0.006747544053110693,0.0,0.0,1.0
0.007149428986597577,0.0,0.0,1.0
0.007575250258771912,0.0,0.0,1.0
0.008026433522257174,0.0,0.0,1.0
0.008504489341802677,0.0,0.0,1.0
0.009011018251665018,0.0,0.0,1.0
0.009547716114208056,0.0,0.0,1.0
0.01011637979766207,0.0,0.0,1.0
0.010718913192051276,0.0,0.0,1.0
0.01135733358343105,0.0,0.0,1.0
0.012033778407775893,0.0,0.0,1.0
0.012750512407130129,0.0,0.0,1.0
0.013509935211980266,0.0,0.0,1.0
0.014314589375234785,0.0,0.0,1.0
0.015167168884709226,0.0,0.0,1.0
0.016070528182616384,0.0,0.0,1.0
0.017027691722258997,0.0,0.0,1.0
0.018041864093920727,0.0,0.0,1.0
0.019116440753857027,0.0,0.0,1.0
0.020255019392306676,0.0,0.0,1.0
0.021461411978584047,0.0,0.0,1.0
0.022739657523579287,0.0,0.0,1.0
0.02409403560239526,0.0,0.0,1.0
0.025529080682395178,0.0,0.0,1.0
0.027049597304631356,0.0,0.0,1.0
0.028660676169482518,0.0,0.0,1.0
0.03036771118035459,0.0,0.0,1.0
0.03217641750250737,0.0,0.0,1.0
0.034092850697468126,0.0,0.0,1.0
0.036123426997094324,0.0,0.0,1.0
0.038274944785163134,0.0,0.0,1.0
0.040554607358408296,0.0,0.0,1.0
0.04297004704320842,0.0,0.0,1.0
0.0455293507486695,0.0,0.0,1.0
0.04824108704165371,0.0,0.0,1.0
0.051114334834401684,0.0,0.0,1.0
0.05415871378079473,0.0,0.0,0.9999999999999998
0.057384416483023955,0.0,0.0,0.9999999999999986
0.06080224261649424,0.0,0.0,0.9999999999999897
0.06442363508721373,0.0,0.0,0.9999999999999342
0.06826071834272389,0.0,0.0,0.9999999999996229
0.07232633896483537,0.0,0.0,0.9999999999980423
0.07663410868007459,0.0,0.0,0.9999999999907361
0.08119844993184012,0.0,0.0,0.9999999999598286
0.08603464416684505,0.0,0.0,0.9999999998395923
0.09115888299750823,0.0,0.0,0.9999999994074399
0.09658832241158703,0.0,0.0,0.9999999979660572
0.10234114021054533,0.0,0.0,0.9999999934861548
0.10843659686896104,0.0,0.0,0.9999999804601619
0.11489510001873092,0.0,0.0,0.9999999448955614
0.12173827277396614,0.0,0.0,0.9999998533973634
0.12898902612533086,0.0,0.0,0.9999996308445401
0.13667163564620066,0.0,0.0,0.99999911746514
0.14481182276745339,0.0,0.0,0.9999979910148508
0.15343684089300125,0.0,0.0,0.9999956334363682
0.16257556664437942,0.0,0.0,0.9999909144828967
0.17225859653987866,0.0,0.0,0.9999818585815616
0.18251834943190434,0.0,0.0,0.9999651574981909
0.1933891750455231,0.0,0.0,0.9999354922740791
0.2049074689815847,0.0,0.0,0.9998846354762128
0.21711179456945043,0.0,0.0,0.9998003204540128
0.2300430119772918,0.0,0.0,0.9996648883189975
0.24374441501222205,0.0,0.0,0.9994537545773133
0.2582618760682676,0.0,0.0,0.9991337730271416
0.27364399970746706,0.0,0.0,0.9986616106693329
0.28994228538828765,0.0,0.0,0.9979822791767479
0.30721129988617574,0.0,0.0,0.9970279910146672
0.3255088599835058,0.0,0.0,0.9957175172434981
0.3448962260405758,0.0,0.0,0.9939562161277931
0.3654383070957256,0.0,0.0,0.9916368752112497
0.3872038781812555,0.0,0.0,0.9886414645639742
0.41026581058271927,0.0,0.0,0.9848438374462687
0.43470131581250243,0.0,0.0,0.9801133405957226
0.4605922041145106,0.0,0.0,0.974319215548422
0.48802515836544313,0.0,0.0,0.9673355923041843
0.5170920242896758,0.0,0.0,0.9590468058100302
0.5478901179593942,0.0,0.0,0.9493527129913306
0.5805225516094898,0.0,0.0,0.9381736613044074
0.6150985788580502,0.0,0.0,0.9254547646297945
