T,sxMFGS,syMFGS,szMFGS
0.01,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.010473708979594498,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.010969857978923836,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.011489510001873092,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.012033778407775893,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.012603829296797275,0.49450644166855406,0.494506441668565,0.6853962771007933
0.01320088400831418,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.013826221737646556,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.014481182276745337,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.015167168884709226,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.015885651294280528,0.49450644166855406,0.494506441668565,0.6853962771007933
0.01663816886076129,0.49450644166855406,0.494506441668565,0.6853962771007933
0.0174263338600965,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.018251834943190434,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.019116440753857027,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.020022003718155844,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.02097046401323233,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.02196385372416546,0.49450644166855406,0.494506441668565,0.6853962771007933
0.02300430119772918,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.02409403560239526,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.02523539170434766,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.026430814869741057,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.027682866303920653,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.028994228538828767,0.49450644166855406,0.494506441668565,0.6853962771007933
0.03036771118035459,0.4945064416685541,0.49450644166856506,0.6853962771007934
0.031806256927941194,0.49450644166855395,0.4945064416685649,0.6853962771007933
0.03331294787934674,0.49450644166855334,0.4945064416685643,0.6853962771007927
0.03489101213406772,0.4945064416685507,0.49450644166856167,0.6853962771007901
0.03654383070957257,0.4945064416685383,0.4945064416685492,0.6853962771007774
0.038274944785163134,0.4945064416684871,0.49450644166849805,0.6853962771007245
0.04008806328898465,0.4945064416682887,0.4945064416682996,0.6853962771005206
0.0419870708444391,0.4945064416675668,0.4945064416675777,0.6853962770997784
0.043976036093027186,0.4945064416650927,0.49450644166510355,0.6853962770972342
0.04605922041145106,0.49450644165708685,0.49450644165709773,0.6853962770890021
0.04824108704165371,0.49450644163256824,0.49450644163257906,0.6853962770637905
0.0505263106533568,0.4945064415613193,0.49450644156133017,0.6853962769905275
0.05291978735958442,0.49450644136440114,0.4945064413644121,0.6853962767880428
0.05542664520663104,0.49450644084560946,0.49450644084562034,0.6853962762545858
0.05805225516094899,0.4945064395399348,0.49450643953994566,0.6853962749120023
0.06080224261649424,0.494506436394332,0.4945064363943429,0.685396271677479
0.06368249944718586,0.49450642912570786,0.49450642912571874,0.6853962642033846
0.06669919663030122,0.49450641298604475,0.4945064129860556,0.6853962476074835
0.0698587974678525,0.49450637848687024,0.49450637848688117,0.6853962121330821
