T,szWK
0.001000000000000000020816681711721685132943093776702880859375,0.4995575397668271317101193961859639073743872235089211673016113674525067531420985
0.0020691380811147901119806391534439171664416790008544921875,0.499192574148773103159990829301588458585156822723102675918837428422333518962995
0.004281332398719395714026259014417519210837781429290771484375,0.4986573133432073895513354116138888077372991063150701449031994396909448964983024
0.00885866790410082260986968094584881328046321868896484375,0.4980242995187205483305668138967309392487662813519432665167998943222425967221186
0.0183298071083243564738385344980997615493834018707275390625,0.4974410368062574100877502985529870440362104846330420010170908870327200459981235
0.037926901907322500828723121912844362668693065643310546875,0.4970136848403107457699897707705710629328893905550903604869347687484248020176164
0.07847599703514611391153010799826006405055522918701171875,0.4967400301137943453756888366362322006489910163990674909694098639864776717777389
0.1623776739188721729423292572391801513731479644775390625,0.4943582451709860903342632424147278956297652318482682659524162353231043402822621
0.335981828628378220713557311682961881160736083984375,0.4474379891270385105638660728879190273120892978014869689560957092341633533480495
0.6951927961775605790961662933113984763622283935546875,0.3047676916081154593794958315863304741423797471652005493164605890998067271506037
1.438449888287662847830006285221315920352935791015625,0.1645353237701288915810807168734242616004898087730695550691008852928527932700112
2.976351441631317928937505712383426725864410400390625,0.0809497748370631674099768741182297063224889433935272487886352111514229512020468
6.1584821106602642970528904697857797145843505859375,0.0383242027631394928468647431112388240442067249693859607329025120279940599565384
12.7427498570313417758370633237063884735107421875,0.017446824588539327718592848517785330482595424981222252627610653386359786437681
26.36650898730358250077188131399452686309814453125,0.007322560673901296182177693702715867043783315301587794134583544041110118994039011
54.55594781168520057690329849720001220703125,0.002425046403337743737052672574293472042944450225691608725024081561413448843369186
112.883789168468950947499251924455165863037109375,5.745207319978161824180791238091871656141344559817468206649269234504895562472413e-05
233.57214690901213316465145908296108245849609375,-0.001086898873338637354370158818978935306770446779849122232682573481356410251775175
483.29302385717522838604054413735866546630859375,-0.00163997610747391137764590938379879028504055966401354335603898655583999077564238
1000.0,-0.001907278668388274504855241480141249729616542678009870775116224877461357347591884
