T,szWK
0.005,0.9944938895173934
0.008118883695943609,0.9944935677595935
0.013183254493651791,0.9944927176491869
0.02140666199359697,0.9944904638621272
0.03475963980887803,0.9944844317244691
0.05644189458423446,0.9944677566364626
0.0916490355416218,0.994374383404689
0.14881757208156593,0.9916379206341247
0.24164651192858766,0.961365876295364
0.39237998517573064,0.8470505860493148
0.6371374928515668,0.6495737409698117
1.0345690405573948,0.44579016264128596
1.6799091431418909,0.28779952920581087
2.7277973905842594,0.18073190189424976
4.4293339520504125,0.11219720265567552
7.192249441438315,0.06932736533414768
11.678607345450612,0.0427566943390412
18.963450953661248,0.026348822780603343
30.79241055330132,0.016231947248135124
50.0,0.009998000191011113
