T,sxMFGS,syMFGS,szMFGS
0.01,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.011233240329780276,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.012618568830660204,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.014174741629268055,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.015922827933410922,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.01788649529057435,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.02009233002565047,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.022570197196339202,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.025353644939701114,1.027843663136211e-17,-5.950548086393749e-19,0.9504186122558912
0.02848035868435802,1.027843663136211e-17,-5.950548086393749e-19,0.9504186122558912
0.031992671377973826,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.03593813663804628,1.0278436631362112e-17,-5.950548086393766e-19,0.9504186122558914
0.040370172585965536,1.0278436631362114e-17,-5.950548086393762e-19,0.9504186122558914
0.04534878508128582,1.0278436631362092e-17,-5.950548086393381e-19,0.9504186122558912
0.050941380148163774,1.0278436631360901e-17,-5.950548086369584e-19,0.9504186122558895
0.05722367659350217,1.0278436631309505e-17,-5.950548085342568e-19,0.9504186122558074
0.06428073117284322,1.0278436629846204e-17,-5.950548056111346e-19,0.9504186122534726
0.07220809018385464,1.0278436601162808e-17,-5.95054748312016e-19,0.950418612207705
0.08111308307896872,1.0278436198176151e-17,-5.950539432895094e-19,0.9504186115646929
0.09111627561154892,1.027843199298403e-17,-5.950455428267643e-19,0.9504186048548178
0.10235310218990261,1.027839834771526e-17,-5.949783316696993e-19,0.9504185511698625
0.11497569953977356,1.0278186005213491e-17,-5.945541476450238e-19,0.9504182123526353
0.1291549665014884,1.0277101717171351e-17,-5.923881295126114e-19,0.9504164822456476
0.14508287784959398,1.0272519255855285e-17,-5.832340152397664e-19,0.9504091704245613
0.16297508346206444,1.0256162068688528e-17,-5.505582362590009e-19,0.950383071180071
0.18307382802953684,1.020594455036535e-17,-4.502425244524844e-19,0.9503029505030294
0.20565123083486514,1.0071171850320516e-17,-1.810311292025908e-19,0.9500879751933827
0.23101297000831597,9.750314454936742e-18,4.597481304266851e-19,0.9495765361968553
0.25950242113997357,9.063582869574295e-18,1.8301874286336702e-18,0.9484839028631924
0.29150530628251764,7.725672046995207e-18,4.494454435589615e-18,0.9463641949476762
0.32745491628777285,5.324657630396921e-18,9.250858213572223e-18,0.9425934423605272
0.3678379771828633,1.3093388594781122e-18,1.7116047455268325e-17,0.9363903848849903
0.4132012400115337,-5.0184919087882744e-18,2.924537006679893e-17,0.926884164419749
0.4641588833612779,-1.4511109344993664e-17,4.677249114195841e-17,0.9132242403163646
0.5214008287999685,-2.817319391008611e-17,7.055832110120311e-17,0.8947121499262644
0.5857020818056666,-4.7118691303649965e-17,1.0085672688188626e-16,0.8709237917710493
0.657933224657568,-7.243284653660042e-17,1.3693727624353924e-16,0.8417906021314998
0.7390722033525778,-1.0489695672583749e-16,1.7674865808394552e-16,0.807619671754428
0.8302175681319746,-1.4459351632107366e-16,2.1674438202069743e-16,0.7690516387992268
0.9326033468832199,-1.905021400894683e-16,2.520040622224387e-16,0.7269725501390706
1.0476157527896648,-2.4026477625210933e-16,2.767531091958154e-16,0.682404849636668
1.1768119524349985,-2.9027917836343543e-16,2.853052519101327e-16,0.6364016312605667
1.321941148466029,-3.3616886823859627e-16,2.7332548682907387e-16,0.5899606287002221
1.484968262254465,-3.735577863566683e-16,2.3913285537426804e-16,0.5439650592473517
1.6681005372000588,-3.990225109652476e-16,1.845468879722375e-16,0.49915094682155076
1.8738174228603839,-4.1103045692561205e-16,1.1462321167145416e-16,0.45609615785956203
2.1049041445120205,-4.1044612261907737e-16,3.5742510364351156e-17,0.41522478739317836
2.3644894126454075,-3.9990899692282884e-16,-4.785444867525886e-17,0.3768208972036974
2.6560877829466865,-3.815654853394921e-16,-1.3792377768988734e-16,0.34104705252950773
2.9836472402833394,-3.5363948392879967e-16,-2.444208758450259e-16,0.30796478935130583
3.3516026509388426,-3.0763167477115513e-16,-3.8420707485135264e-16,0.27755540666060013
3.7649358067924683,-2.2830544698228586e-16,-5.760420906494804e-16,0.2497400573382616
4.229242874389499,-9.732264558459468e-17,-8.338068035514489e-16,0.2243982050158989
4.7508101621027965,1.00810021870277e-16,-1.1610470128569193e-15,0.20138353496400752
5.3366992312063095,3.732601180384771e-16,-1.5491926867753135e-15,0.18053664556950666
5.99484250318941,7.162695861868725e-16,-1.9797960939465814e-15,0.16169431334547668
6.7341506577508214,1.116151355735248e-15,-2.429290983387381e-15,0.1446956307446135
7.564633275546289,1.5528787222451415e-15,-2.8741197286388555e-15,0.1293856639343563
8.497534359086442,2.0044995570739108e-15,-3.294588966398816e-15,0.11561738541093802
9.54548456661834,2.4508688049619593e-15,-3.676817768339822e-15,0.10325254676316736
10.722672220103231,2.8759551516394715e-15,-4.012980371258817e-15,0.09216197146968946
12.045035402587823,3.268693230736766e-15,-4.3004451579261115e-15,0.0822255580721169
13.530477745798068,3.6227581771291475e-15,-4.540432948480267e-15,0.07333214054587994
15.199110829529339,3.935739499960987e-15,-4.736646257728579e-15,0.06537926600605865
17.073526474706906,4.20810951193839e-15,-4.894114622499739e-15,0.05827290864889667
19.179102616724887,4.442239597487564e-15,-5.018340275050158e-15,0.05192712549994882
