T,szMFGS
0.01,0.9945111547747997
0.010974987654930561,0.9945111547747997
0.012045035402587823,0.9945111547747997
0.013219411484660288,0.9945111547747997
0.014508287784959394,0.9945111547747997
0.015922827933410922,0.9945111547747997
0.01747528400007684,0.9945111547747996
0.019179102616724886,0.9945111547747997
0.02104904144512021,0.9945111547747997
0.02310129700083159,0.9945111547747997
0.025353644939701114,0.9945111547747997
0.027825594022071243,0.9945111547747997
0.030538555088334154,0.9945111547747997
0.033516026509388425,0.9945111547747997
0.03678379771828634,0.9945111547747997
0.040370172585965536,0.9945111547747997
0.0443062145758388,0.9945111547747997
0.04862601580065353,0.9945111547747997
0.0533669923120631,0.9945111547747995
0.05857020818056667,0.9945111547747946
0.06428073117284322,0.994511154774701
0.07054802310718641,0.9945111547733023
0.0774263682681127,0.994511154756953
0.08497534359086442,0.9945111546041333
0.093260334688322,0.994511153439367
0.10235310218990261,0.9945111460707403
0.11233240329780274,0.9945111067462693
0.12328467394420663,0.9945109270662932
0.1353047774579807,0.994510214584478
0.1484968262254465,0.9945077322809506
0.16297508346206444,0.99450004719561
0.17886495290574347,0.9944786854996499
0.19630406500402708,0.9944248702070095
0.2154434690031884,0.9943009370375003
0.23644894126454072,0.9940379858905716
0.25950242113997357,0.9935203213042448
0.2848035868435802,0.9925686376550166
0.3125715849688236,0.9909253507591389
0.34304692863149183,0.9882464675434545
0.37649358067924676,0.9841044513778487
0.4132012400115337,0.9780054058052321
0.4534878508128582,0.9694215830712196
0.4977023564332111,0.9578370836919387
0.5462277217684341,0.9428013249158196
0.599484250318941,0.9239823017841323
0.657933224657568,0.9012106995380283
0.7220809018385465,0.8745070429971662
0.7924828983539173,0.8440871599243991
0.8697490026177833,0.810345485450657
0.9545484566618341,0.7738199261993067
1.0476157527896648,0.7351449839496982
1.1497569953977358,0.6950009596685209
1.2618568830660204,0.654066346270603
1.384886371393873,0.6129785385089457
1.5199110829529336,0.5723055247148997
1.6681005372000588,0.532528964721801
1.8307382802953682,0.4940374134490506
2.0092330025650473,0.4571275380391469
2.2051307399030455,0.4220109044475969
2.420128264794382,0.3888240837604262
2.6560877829466865,0.3576402460138271
2.9150530628251765,0.32848090632167265
3.1992671377973836,0.30132695649637653
3.511191734215131,0.27612849817158913
3.8535285937105295,0.25281327280506016
4.229242874389499,0.2312936671662899
4.641588833612778,0.21147238008560626
5.094138014816379,0.19324689053219835
5.590810182512224,0.17651288851114239
6.1359072734131725,0.16116683297472956
6.7341506577508214,0.14710779336082602
7.390722033525779,0.13423871791381287
8.11130830789687,0.12246725497006222
8.902150854450387,0.11170623456603984
9.770099572992255,0.10187389857984785
10.722672220103231,0.09289394952256536
11.768119524349984,0.08469547207870037
12.91549665014884,0.07721276810163913
14.174741629268055,0.07038513508975186
15.556761439304715,0.06415660996532346
17.073526474706906,0.058475693846686605
18.73817422860384,0.05329506899917097
20.565123083486515,0.048571315868833675
22.570197196339205,0.0442646357151254
24.770763559917114,0.04033858261527323
27.1858824273294,0.03675980733332651
29.836472402833387,0.033497814603097364
32.74549162877728,0.03052473467706668
35.938136638046274,0.02781510948007493
39.442060594376564,0.025345693331986052
43.287612810830595,0.02309526793461153
47.508101621027954,0.021044471130180487
52.14008287999685,0.019175638812558737
57.22367659350217,0.017472659293545523
62.80291441834253,0.015920839383374352
68.92612104349699,0.014506781427951643
75.64633275546291,0.013218270548318256
83.02175681319744,0.012044171344706978
91.11627561154891,0.010974333354249244
100.0,0.009999504584408736
