T,szWK
0.01,0.9944932994541078
0.016237767391887217,0.9944920075460559
0.026366508987303583,0.9944885724397878
0.04281332398719394,0.9944793001941705
0.06951927961775606,0.9944515602243035
0.11288378916846892,0.9940471180990048
0.1832980710832436,0.9851003104019377
0.29763514416313186,0.9250512026564047
0.4832930238571753,0.7684267491338153
0.7847599703514613,0.5583532410351202
1.2742749857031337,0.371214953645014
2.0691380811147897,0.23613455371716668
3.3598182862837818,0.14736802034012403
5.455594781168519,0.09125454006251431
8.858667904100825,0.056329120179322144
14.38449888287663,0.034725536006842694
23.357214690901223,0.021395759068181423
37.926901907322495,0.013179594704714689
61.58482110660264,0.008117606784465421
100.0,0.004999541678191822
