T,sxMFGS,syMFGS,szMFGS
0.01,8.829081568886554e-15,0.0,0.7286454075236075
0.011233240329780276,8.829081568886556e-15,0.0,0.7286454075236074
0.012618568830660204,8.829081568886554e-15,0.0,0.7286454075236075
0.014174741629268055,8.829081568886556e-15,0.0,0.7286454075236074
0.015922827933410922,8.829081568886554e-15,0.0,0.7286454075236075
0.01788649529057435,8.829081568886554e-15,0.0,0.7286454075236075
0.02009233002565047,8.829081568886556e-15,0.0,0.7286454075236074
0.022570197196339202,8.829081568886554e-15,0.0,0.7286454075236075
0.025353644939701114,8.829081568886554e-15,0.0,0.7286454075236075
0.02848035868435802,8.829081568886554e-15,0.0,0.7286454075236074
0.031992671377973826,8.82908156888649e-15,0.0,0.7286454075235966
0.03593813663804628,8.8290815688842e-15,0.0,0.7286454075232426
0.040370172585965536,8.829081568832252e-15,0.0,0.7286454075151987
0.04534878508128582,8.829081567999299e-15,0.0,0.7286454073862341
0.050941380148163774,8.829081558219547e-15,0.0,0.7286454058720471
0.05722367659350217,8.829081471282519e-15,0.0,0.7286453924116949
0.06428073117284322,8.829080868491954e-15,0.0,0.7286452990823792
0.07220809018385464,8.82907752074744e-15,0.0,0.7286447807552462
0.08111308307896872,8.82906227051428e-15,0.0,0.7286424195805532
0.09111627561154892,8.829004065717435e-15,0.0,0.728633407804021
0.10235310218990261,8.828814378745035e-15,0.0,0.7286040388052571
0.11497569953977356,8.82827751398935e-15,0.0,0.72852091670074
0.1291549665014884,8.826937882041242e-15,0.0,0.7283135031471031
0.14508287784959398,8.823951130960354e-15,0.0,0.7278510681808096
0.16297508346206444,8.817930921768636e-15,0.0,0.7269189666721052
0.18307382802953684,8.806847287742798e-15,0.0,0.725202901675771
0.20565123083486514,8.788042265285449e-15,0.0,0.722291347676654
0.23101297000831597,8.758413158576208e-15,0.0,0.7177039525417985
0.25950242113997357,8.714771272763702e-15,0.0,0.7109472524778614
0.29150530628251764,8.6543228053294e-15,0.0,0.7015899363284707
0.32745491628777285,8.57515730739623e-15,0.0,0.6893413059859497
0.3678379771828633,8.476593602041643e-15,0.0,0.6741122641374746
0.4132012400115337,8.359252309701608e-15,0.0,0.6560407810626783
0.4641588833612779,8.224819138687298e-15,0.0,0.6354732033136291
0.5214008287999685,8.075622944171387e-15,0.0,0.6129056758080587
0.5857020818056666,7.914312637749605e-15,0.0,0.5889014136070543
0.657933224657568,7.743974847308548e-15,0.0,0.5640053716732347
0.7390722033525778,7.568911874536308e-15,0.0,0.5386763710944672
0.8302175681319746,7.396005242777979e-15,0.0,0.5132493068698399
0.9326033468832199,7.236229248026592e-15,0.0,0.48793009811826377
1.0476157527896648,7.105615605827658e-15,0.0,0.46281726677726476
1.1768119524349985,7.0249619125132676e-15,0.0,0.43793891295366144
1.321941148466029,7.0178925196963095e-15,0.0,0.41329299083991566
1.484968262254465,7.107443749890778e-15,0.0,0.3888812558564714
1.6681005372000588,7.311950257545975e-15,0.0,0.36473141227237554
1.8738174228603839,7.641398507743361e-15,0.0,0.3409062315214681
2.1049041445120205,8.095362114494142e-15,0.0,0.3175016172497017
2.3644894126454075,8.663053032993846e-15,0.0,0.29463729621103524
2.6560877829466865,9.325100707212336e-15,0.0,0.2724441122171973
2.9836472402833394,1.0055911134349441e-14,0.0,0.2510512298357306
3.3516026509388426,1.0825408577902442e-14,0.0,0.23057543911015532
3.7649358067924683,1.159974962436277e-14,0.0,0.21111362016963098
4.229242874389499,1.2341701403540585e-14,0.0,0.19273853071622182
4.7508101621027965,1.3011963988163814e-14,0.0,0.17549750747386222
5.3366992312063095,1.3572313593422269e-14,0.0,0.1594133993288666
5.99484250318941,1.399031752334711e-14,0.0,0.1444869963750981
6.7341506577508214,1.424432683229923e-14,0.0,0.13070029790394627
7.564633275546289,1.4327207866150384e-14,0.0,0.1180201014329833
8.497534359086442,1.4247960238526923e-14,0.0,0.10640154524622009
9.54548456661834,1.403148397405898e-14,0.0,0.09579137119984171
10.722672220103231,1.3717529556250275e-14,0.0,0.08613078117344986
12.045035402587823,1.3359734413572336e-14,0.0,0.07735783785304223
13.530477745798068,1.3024631620691803e-14,0.0,0.06940941198442657
15.199110829529339,1.2789256111358391e-14,0.0,0.06222270924867318
17.073526474706906,1.2735430125302714e-14,0.0,0.0557364260185641
19.179102616724887,1.293966288309265e-14,0.0,0.04989158924629561
21.544346900318832,1.3459717666878842e-14,0.0,0.04463213538411487
24.20128264794382,1.4321262401754647e-14,0.0,0.03990527933711219
27.1858824273294,1.5509236707592524e-14,0.0,0.03566171883073277
30.538555088334157,1.6967724657371782e-14,0.0,0.03185571309386914
34.30469286314917,1.860941284559672e-14,0.0,0.028445067466972673
38.53528593710529,2.033238707363492e-14,0.0,0.02539104763649941
43.287612810830595,2.203962601717964e-14,0.0,0.022658240150771225
48.62601580065353,2.3656019129374918e-14,0.0,0.020214372111375833
54.62277217684343,2.5138983856585063e-14,0.0,0.018030103475809522
61.35907273413173,2.6480985237134148e-14,0.0,0.016078807943561202
68.92612104349699,2.7704557461925096e-14,0.0,0.014336358610153976
77.4263682681127,2.885215291359692e-14,0.0,0.012780929870804814
86.97490026177834,2.997398125362487e-14,0.0,0.011392818928498305
97.70099572992251,3.1116884026250454e-14,0.0,0.010154282925383729
109.74987654930557,3.231639325673884e-14,0.0,0.009049384620395284
123.28467394420659,3.3592838864159356e-14,0.0,0.00806384105813801
138.48863713938732,3.4951174682287244e-14,0.0,0.007184873582206264
155.56761439304722,3.6383436380068304e-14,0.0,0.006401061101030725
