x,P(x)
-10.295017940294834,1.8485573804542484e-13
-10.253755343339744,3.277974184987715e-13
-10.212492746384655,5.784301989447311e-13
-10.171230149429565,1.0156900373730418e-12
-10.129967552474476,1.7747126329225654e-12
-10.088704955519386,3.0856250507301032e-12
-10.047442358564297,5.338238933483692e-12
-10.006179761609207,9.189331613979384e-12
-9.964917164654118,1.5739540092775086e-11
-9.923654567699028,2.6823368234535653e-11
-9.882391970743939,4.548189205577124e-11
-9.84112937378885,7.672877486976305e-11
-9.79986677683376,1.287843035144186e-10
-9.75860417987867,2.1505162848424645e-10
-9.71734158292358,3.572626968435836e-10
-9.676078985968491,5.904559996746778e-10
-9.634816389013402,9.708048206848042e-10
-9.593553792058312,1.5878526398725784e-9
-9.552291195103223,2.5835180669576074e-9
-9.511028598148133,4.1814294243570635e-9
-9.469766001193044,6.7319160744907236e-9
-9.428503404237954,1.0780570086494011e-8
-9.387240807282865,1.7172047917790816e-8
-9.345978210327775,2.7206192005885966e-8
-9.304715613372686,4.287128008513851e-8
-9.263453016417596,6.71901541200603e-8
-9.222190419462507,1.047303430307997e-7
-9.180927822507417,1.6235066179258698e-7
-9.139665225552328,2.5028621330130383e-7
-9.098402628597238,3.837138958047471e-7
-9.057140031642149,5.849947854341203e-7
-9.01587743468706,8.868622885314777e-7
-8.97461483773197,1.3369208134060162e-6
-8.93335224077688,2.0039449254869065e-6
-8.892089643821791,2.9866304994873003e-6
-8.850827046866701,4.425655071789859e-6
-8.809564449911612,6.520162787329878e-6
-8.768301852956522,9.550108461756878e-6
-8.727039256001433,1.3906283085111798e-5
-8.685776659046343,2.0130305520331658e-5
-8.644514062091254,2.896740481811378e-5
-8.603251465136164,4.1435431792599016e-5
-8.561988868181075,5.891421682734553e-5
-8.520726271225985,8.32601121868407e-5
-8.479463674270896,0.00011695128637104371
-8.438201077315806,0.00016327002298937822
-8.396938480360717,0.0002265288445802583
-8.355675883405628,0.0003123476372909254
-8.314413286450538,0.00042798897602056116
-8.273150689495449,0.000582758399398902
-8.231888092540359,0.0007884752990714435
-8.19062549558527,0.0010600181969509213
-8.14936289863018,0.0014159453186505051
-8.10810030167509,0.0018791873835235318
-8.066837704720001,0.002477804319033198
-8.025575107764912,0.003245791141427379
-7.984312510809821,0.004223910605143198
-7.943049913854732,0.005460521630647085
-7.901787316899642,0.007012363367713786
-7.860524719944553,0.008945245627265936
-7.819262122989463,0.011334588112967085
-7.777999526034374,0.014265744388614408
-7.736736929079284,0.017834042964856394
-7.695474332124196,0.022144478491454136
-7.654211735169105,0.02731099197790554
-7.612949138214014,0.033455291234765545
-7.5716865412589245,0.040705181975925576
-7.530423944303835,0.04919240635211384
-7.4891613473487455,0.059050018478117736
-7.447898750393656,0.07040936427994957
-7.4066361534385665,0.08339677328080924
-7.365373556483477,0.09813010939151151
-7.3241109595283875,0.11471536221500579
-7.282848362573298,0.1332434851765544
-7.2415857656182085,0.15378769728372393
-7.200323168663119,0.17640145739572516
-7.15906057170803,0.20111729066546472
-7.11779797475294,0.2279465953540428
-7.076535377797852,0.25688048606243663
-7.035272780842761,0.28789164103398907
-6.994010183887673,0.320937023970178
-6.952747586932582,0.35596125478917107
-6.911484989977494,0.3929003207263714
-6.870222393022403,0.43168526138217883
-6.828959796067315,0.4722454398168326
-6.787697199112224,0.5145110345735529
-6.746434602157136,0.5584144577414228
-6.705172005202045,0.60389051879112
-6.663909408246957,0.6508753029801524
-6.622646811291866,0.6993039001148211
-6.5813842143367784,0.7491072827632612
-6.540121617381689,0.80020876854457
-6.4988590204265995,0.8525205858065749
-6.45759642347151,0.9059410777767212
-6.4163338265164205,0.9603530178248768
-6.375071229561331,1.0156233701445487
-6.3338086326062415,1.0716046311355498
-6.292546035651152,1.128137654196306
-6.2512834386960625,1.1850556303135509
-6.210020841740973,1.2421887078466838
-6.168758244785883,1.2993686227850378
-6.127495647830793,1.356432700445393
-6.086233050875702,1.4132266894578893
-6.044970453920612,1.469606087368343
-6.003707856965524,1.5254358828845302
-5.962445260010434,1.580588925834315
-5.921182663055345,1.634943387948233
-5.879920066100255,1.6883799443873249
-5.838657469145166,1.740779350433264
-5.797394872190075,1.7920209961916154
-5.756132275234986,1.8419828090297832
-5.7148696782798964,1.8905425805499785
-5.673607081324809,1.9375804838686335
-5.632344484369719,1.9829822867000346
-5.59108188741463,2.0266426166249945
-5.54981929045954,2.0684676338898145
-5.508556693504449,2.1083766170105775
-5.4672940965493595,2.1463022332639174
-5.42603149959427,2.182189585041671
-5.3847689026391805,2.2159944133649137
-5.343506305684091,2.247681025334741
-5.3022437087290015,2.2772205419171208
-5.260981111773912,2.304589926071693
-5.2197185148188225,2.3297719850912877
-5.178455917863733,2.3527562204961217
-5.137193320908645,2.373540119091171
-5.095930723953555,2.3921303278014876
-5.054668126998466,2.408543185969082
-5.013405530043375,2.4228043010950455
-4.972142933088287,2.4349471879247546
-4.930880336133196,2.4450113414191432
-4.889617739178108,2.4530403610274956
-4.848355142223017,2.4590807889540796
-4.807092545267929,2.463182129258771
-4.765829948312838,2.4653981172110115
-4.72456735135775,2.4657888249409954
-4.683304754402659,2.464422782430532
-4.642042157447571,2.4613781216551125
-4.60077956049248,2.456741916563711
-4.559516963537392,2.450607389473254
-4.518254366582301,2.443069363439703
-4.476991769627213,2.434219043099888
-4.435729172672122,2.4241396518054312
-4.394466575717034,2.41290443762723
-4.353203978761943,2.4005780104140655
-4.311941381806855,2.3872209883496778
-4.270678784851763,2.372896787444625
-4.229416187896676,2.3576784561246633
