x,P(x)
-8.081221335016842,4.0712468155598614e-8
-8.048831670347436,5.728829671195908e-8
-8.01644200567803,8.036769390428924e-8
-7.984052341008624,1.1240084074605572e-7
-7.951662676339218,1.56720328499064e-7
-7.919273011669811,2.178432046721885e-7
-7.8868833470004045,3.018705360299297e-7
-7.8544936823309985,4.1701386763511547e-7
-7.822104017661593,5.74286084635893e-7
-7.789714352992187,7.884043217152958e-7
-7.757324688322781,1.0789651361106305e-6
-7.724935023653374,1.4719676518735806e-6
-7.692545358983967,2.0017793524594697e-6
-7.660155694314561,2.713662272319551e-6
-7.627766029645155,3.6670052093469887e-6
-7.595376364975749,4.939441001699322e-6
-7.562986700306343,6.632067683406201e-6
-7.530597035636937,8.876039276250729e-6
-7.49820737096753,1.1840846906555871e-5
-7.465817706298124,1.5744674620327182e-5
-7.4334280416287175,2.0867287367061715e-5
-7.4010383769593115,2.7565991609756436e-5
-7.368648712289906,3.6295302104329614e-5
-7.3362590476205,4.763105140480912e-5
-7.303869382951094,6.229979091331228e-5
-7.271479718281687,8.12144524750441e-5
-7.239090053612281,0.00010551736547206635
-7.206700388942876,0.00013663185295970933
-7.174310724273468,0.00017632375731158292
-7.141921059604063,0.00022677436544334435
-7.109531394934657,0.0002906663088171642
-7.077141730265251,0.00037128409529977273
-7.044752065595844,0.0004726309780582173
-7.012362400926438,0.0005995638688136355
-6.979972736257032,0.0007579479450965758
-6.947583071587626,0.0009548324684153923
-6.91519340691822,0.0011986491061856347
-6.8828037422488135,0.001499433718112079
-6.850414077579408,0.0018690721109725114
-6.818024412910001,0.00232156966916214
-6.785634748240595,0.002873344019086529
-6.753245083571189,0.0035435389745345587
-6.720855418901783,0.004354356933947078
-6.688465754232377,0.005331405662606581
-6.656076089562971,0.0065040540057718105
-6.623686424893564,0.007905789565966772
-6.591296760224157,0.009574569774677799
-6.558907095554751,0.011553156144946418
-6.526517430885345,0.01388941987057694
-6.494127766215939,0.01663660541830658
-6.461738101546533,0.01985353743356522
-6.429348436877127,0.02360475525258201
-6.3969587722077215,0.027960558696707615
-6.364569107538314,0.0329969487364431
-6.332179442868908,0.03879544716887812
-6.299789778199502,0.04544278076043162
-6.267400113530096,0.05303041745711416
-6.23501044886069,0.06165394532067562
-6.202620784191284,0.07141228883809932
-6.170231119521878,0.08240676215507252
-6.137841454852471,0.094739964527278
-6.105451790183064,0.10851452973050799
-6.073062125513658,0.1238317481189695
-6.040672460844252,0.14079008720040243
-6.008282796174846,0.15948364367284343
-5.97589313150544,0.18000056645195903
-5.9435034668360345,0.20242149588090097
-5.911113802166628,0.22681806860775347
-5.878724137497221,0.2532515400970341
-5.846334472827815,0.28177157700677347
-5.813944808158409,0.3124152693790609
-5.781555143489003,0.34520640753434706
-5.749165478819597,0.380155060645051
-5.716775814150191,0.41725748328017287
-5.684386149480784,0.45649636304213403
-5.651996484811377,0.49784140724773607
-5.619606820141971,0.5412502501277207
-5.587217155472565,0.5866696451091167
-5.554827490803161,0.6340368904240136
-5.5224378261337534,0.6832814216736363
-5.490048161464348,0.7343264932054542
-5.457658496794941,0.7870908623100235
-5.425268832125536,0.8414903872345831
-5.392879167456129,0.8974394525166347
-5.360489502786724,0.9548521435006477
-5.328099838117316,1.0136431060477777
-5.295710173447911,1.0737280468600054
-5.263320508778504,1.1350238535288002
-5.230930844109098,1.1974483399527487
