x,P(x)
-10.295017940294834,1.4902515034282132e-17
-10.253755343339744,2.6484865821381807e-17
-10.212492746384655,4.684433453980622e-17
-10.171230149429565,8.245773775632164e-17
-10.129967552474476,1.4444905271362657e-16
-10.088704955519386,2.518261102016385e-16
-10.047442358564297,4.36901334863327e-16
-10.006179761609207,7.54321114258679e-16
-9.964917164654118,1.2960241832200523e-15
-9.923654567699028,2.2158865169969083e-15
-9.882391970743939,3.77010170527696e-15
-9.84112937378885,6.3829771422138e-15
-9.79986677683376,1.0753545442280929e-14
-9.75860417987867,1.8027341217644773e-14
-9.71734158292358,3.007161338748946e-14
-9.676078985968491,4.991375337360687e-14
-9.634816389013402,8.243574437980032e-14
-9.593553792058312,1.3546781023073728e-13
-9.552291195103223,2.2150077154233156e-13
-9.511028598148133,3.603515067881899e-13
-9.469766001193044,5.832876817506092e-13
-9.428503404237954,9.393729593734885e-13
-9.387240807282865,1.5051700011507085e-12
-9.345978210327775,2.3994892994961597e-12
-9.304715613372686,3.805672614855393e-12
-9.263453016417596,6.0050556749614426e-12
-9.222190419462507,9.426911217265635e-12
-9.180927822507417,1.4722529673892117e-11
-9.139665225552328,2.2874421392444888e-11
-9.098402628597238,3.535628524903077e-11
-9.057140031642149,5.4365868772426395e-11
-9.01587743468706,8.316178408755877e-11
-8.97461483773197,1.265475771212548e-10
-8.93335224077688,1.9156295313090255e-10
-8.892089643821791,2.8846441748730266e-10
-8.850827046866701,4.3210743672016444e-10
-8.809564449911612,6.438817324003095e-10
-8.768301852956522,9.54403165508057e-10
-8.727039256001433,1.4072331069765555e-9
-8.685776659046343,2.0639831277906256e-9
-8.644514062091254,3.0112739008212784e-9
-8.603251465136164,4.370157771478353e-9
-8.561988868181075,6.308790700552004e-9
-8.520726271225985,9.059358173120715e-9
-8.479463674270896,1.2940528913426635e-8
-8.438201077315806,1.838703822654915e-8
-8.396938480360717,2.5988398427563976e-8
-8.355675883405628,3.653920642288148e-8
-8.314413286450538,5.110407756919384e-8
-8.273150689495449,7.110088992565648e-8
-8.231888092540359,9.840678319236566e-8
-8.19062549558527,1.3549223088555597e-7
-8.14936289863018,1.8558950109769935e-7
-8.10810030167509,2.52902948612693e-7
-8.066837704720001,3.428698471103417e-7
-8.025575107764912,4.6248188283712525e-7
-7.984312510809821,6.206789993481848e-7
-7.943049913854732,8.288290170844844e-7
-7.901787316899642,1.1013083641197537e-6
-7.860524719944553,1.456201360570923e-6
-7.819262122989463,1.916137817007488e-6
-7.777999526034374,2.509291257335477e-6
-7.736736929079284,3.270562880903698e-6
-7.695474332124196,4.242979457513551e-6
-7.654211735169105,5.479336717861523e-6
-7.612949138214014,7.044123465100531e-6
-7.5716865412589245,9.015765577110757e-6
-7.530423944303835,1.1489233253843108e-5
-7.4891613473487455,1.4579059214599597e-5
-7.447898750393656,1.842281994733949e-5
-7.4066361534385665,2.3185136386169183e-5
-7.365373556483477,2.906225431949575e-5
-7.3241109595283875,3.628726813143819e-5
-7.282848362573298,4.513605382762929e-5
-7.2415857656182085,5.5933978335402675e-5
-7.200323168663119,6.906345142826058e-5
-7.15906057170803,8.497238395315644e-5
-7.11779797475294,0.00010418361103429565
-7.076535377797852,0.0001273053313709553
-7.035272780842761,0.00015504260353752682
-6.994010183887673,0.00018820992736953354
-6.952747586932582,0.00022774492326871554
-6.911484989977494,0.00027472310491639425
-6.870222393022403,0.0003303737219000989
-6.828959796067315,0.00039609662866016773
-6.787697199112224,0.00047348011549336186
-6.746434602157136,0.0005643196165981273
-6.705172005202045,0.0006706371896855117
-6.663909408246957,0.0007947016417174045
-6.622646811291866,0.0009390491558944313
-6.5813842143367784,0.001106504255952933
-6.540121617381689,0.001300200924895336
-6.4988590204265995,0.0015236036762143108
-6.45759642347151,0.0017805283563542159
-6.4163338265164205,0.002075162437724872
-6.375071229561331,0.002412084542581695
-6.3338086326062415,0.002796282920521361
-6.292546035651152,0.003233172587699481
-6.2512834386960625,0.003728610826026882
-6.210020841740973,0.00428891073761916
-6.168758244785883,0.004920852555665073
-6.127495647830793,0.005631692429270733
-6.086233050875702,0.006429168427659945
-6.044970453920612,0.007321503548354425
-6.003707856965524,0.008317405563541639
-5.962445260010434,0.0094260635966348
-5.921182663055345,0.010657141384103189
-5.879920066100255,0.012020767242603203
-5.838657469145166,0.013527520824921715
-5.797394872190075,0.015188416807435734
-5.756132275234986,0.017014885704841807
-5.7148696782798964,0.01901875205415935
-5.673607081324809,0.021212210249997192
-5.632344484369719,0.02360779834824044
-5.59108188741463,0.026218370187496016
-5.54981929045954,0.029057066208424246
-5.508556693504449,0.032137283381172575
-5.4672940965493595,0.035472644679871886
-5.42603149959427,0.03907696856839962
-5.3847689026391805,0.042964238979920584
-5.343506305684091,0.04714857628001666
-5.3022437087290015,0.05164420969561434
-5.260981111773912,0.05646545166675278
-5.2197185148188225,0.06162667453481453
-5.178455917863733,0.06714228992093974
-5.137193320908645,0.073026731076131
-5.095930723953555,0.07929443840594144
-5.054668126998466,0.08595984829423572
-5.013405530043375,0.0930373852783633
-4.972142933088287,0.10054145756639038
-4.930880336133196,0.108486455837559
-4.889617739178108,0.11688675522876914
-4.848355142223017,0.1257567203795826
-4.807092545267929,0.13511071338168912
-4.765829948312838,0.14496310445237412
-4.72456735135775,0.15532828512310162
-4.683304754402659,0.16622068370463758
-4.642042157447571,0.17765478276227684
-4.60077956049248,0.1896451383140841
-4.559516963537392,0.2022064004571473
-4.518254366582301,0.21535333513648752
-4.476991769627213,0.22910084680022189
-4.435729172672122,0.24346400173173058
-4.394466575717034,0.2584580519100605
-4.353203978761943,0.27409845931713644
-4.311941381806855,0.2904009206772317
-4.270678784851763,0.30738139267519204
-4.229416187896676,0.32505611775232135
-4.188153590941584,0.3434416506237601
-4.146890993986497,0.36255488570230887
-4.105628397031405,0.3824130856566949
-4.064365800076318,0.4030339113819604
-4.023103203121226,0.4244354537192075
-3.981840606166138,0.4466362673306087
-3.9405780092110487,0.469655407210526
-3.8993154122559592,0.49351246838904245
-3.8580528153008697,0.5182276294555486
-3.8167902183457803,0.543821700593628
-3.7755276213906908,0.5703161768743326
-3.7342650244356013,0.5977332976058394
-3.6930024274805113,0.6260961125878983
-3.651739830525422,0.6554285561736071
-3.6104772335703323,0.6857555301004854
-3.569214636615243,0.7171029961150992
-3.5279520396601534,0.7494980794740851
-3.486689442705064,0.7829691844502378
-3.4454268457499744,0.8175461229955951
-3.404164248794885,0.8532602577068881
-3.3629016518397954,0.8901446601982971
-3.321639054884706,0.928234285911632
-3.2803764579296164,0.9675661662851741
-3.239113860974527,1.0081796190565753
-3.1978512640194374,1.0501164772817702
-3.156588667064348,1.093421337388176
-3.115326070109258,1.1381418262100396
-3.0740634731541685,1.184328886427643
-3.032800876199079,1.2320370790935107
-2.9915382792439895,1.2813249009223346
-2.9502756822889,1.3322551127050744
-2.9090130853338105,1.3848950735666872
-2.867750488378721,1.4393170738477497
-2.826487891423631,1.495598657230272
-2.7852252944685434,1.5538229204771958
-2.743962697513452,1.6140787769829867
-2.7027001005583644,1.6764611684158752
-2.661437503603273,1.7410712072022034
-2.6201749066481854,1.8080162314761994
-2.578912309693094,1.8774097532284095
-2.5376497127380064,1.9493712793351623
-2.496387115782915,2.0240259833246843
-2.4551245188278266,2.10150420239267
-2.413861921872736,2.1819407286648977
-2.372599324917647,2.265473855739011
-2.3313367279625568,2.3522441315770988
-2.2900741310074686,2.4423927583500165
-2.248811534052378,2.53605957149873
