x,P(x)
-10.295017940294834,5.0141643914761726e-14
-10.253755343339744,8.888666240367469e-14
-10.212492746384655,1.5680177827935735e-13
-10.171230149429565,2.7525413165240067e-13
-10.129967552474476,4.808140637078093e-13
-10.088704955519386,8.357430055798519e-13
-10.047442358564297,1.4454806229801295e-12
-10.006179761609207,2.48763829582295e-12
-9.964917164654118,4.2597976090163595e-12
-9.923654567699028,7.257860817238598e-12
-9.882391970743939,1.2303742634404236e-11
-9.84112937378885,2.0752269095035605e-11
-9.79986677683376,3.4824454995127424e-11
-9.75860417987867,5.814118836514962e-11
-9.71734158292358,9.65727460094573e-11
-9.676078985968491,1.5958292746869454e-10
-9.634816389013402,2.623429023984673e-10
-9.593553792058312,4.290352017702528e-10
-9.552291195103223,6.97986012020883e-10
-9.511028598148133,1.1295877002809365e-9
-9.469766001193044,1.818451322298674e-9
-9.428503404237954,2.9119286179410986e-9
-9.387240807282865,4.638159703473132e-9
-9.345978210327775,7.348268007083897e-9
-9.304715613372686,1.1579418528903558e-8
-9.263453016417596,1.814842409817407e-8
-9.222190419462507,2.8289755132361718e-8
-9.180927822507417,4.3857615916661776e-8
-9.139665225552328,6.761976215234902e-8
-9.098402628597238,1.0368168137883547e-7
-9.057140031642149,1.5809456669855707e-7
-9.01587743468706,2.397203404446208e-7
-8.97461483773197,3.6145324119928647e-7
-8.93335224077688,5.419318661813921e-7
-8.892089643821791,8.079200348918939e-7
-8.850827046866701,1.1975916422036883e-6
-8.809564449911612,1.765026231096489e-6
-8.768301852956522,2.5863108500158767e-6
-8.727039256001433,3.7677522733040316e-6
-8.685776659046343,5.456833873816155e-6
-8.644514062091254,7.856704585889769e-6
-8.603251465136164,1.1245163434019929e-5
-8.561988868181075,1.5999300040874474e-5
-8.520726271225985,2.262716467311699e-5
-8.479463674270896,3.1808062461506065e-5
-8.438201077315806,4.44432826697238e-5
-8.396938480360717,6.171926712436311e-5
-8.355675883405628,8.518536787908502e-5
-8.314413286450538,0.00011684841206433941
-8.273150689495449,0.00015928624445263329
-8.231888092540359,0.0002157822127932974
-8.19062549558527,0.00029048215103451476
-8.14936289863018,0.0003885747542307208
-8.10810030167509,0.000516495283350153
-8.066837704720001,0.0006821512555722583
-8.025575107764912,0.0008951671507851891
-7.984312510809821,0.0011671432087464672
-7.943049913854732,0.001511921149721791
-7.901787316899642,0.0019458472138870397
-7.860524719944553,0.002488020421095746
-7.819262122989463,0.003160511595978164
-7.777999526034374,0.003988536728487639
-7.736736929079284,0.005000566934344115
-7.695474332124196,0.006228356956063178
-7.654211735169105,0.007706875114791113
-7.612949138214014,0.009474120160191253
-7.5716865412589245,0.011570814763661572
-7.530423944303835,0.014039971524072799
-7.4891613473487455,0.016926335193911443
