α,szMFGS,szMFGS′,occupancy,occupancy′
0.1,0.9972442641524283,0.9972442641524295,0.00224635925499934,0.0022463592549995196
0.11497569953977356,0.9968353333626344,0.9968353333626354,0.002580962677906303,0.0025809626779065755
0.1321941148466029,0.996366359869679,0.9963663598696786,0.0029651009239455937,0.002965100923946003
0.15199110829529336,0.9958287307604207,0.9958287307604209,0.0034060106451582446,0.003406010645158638
0.17475284000076838,0.9952126618755355,0.9952126618755338,0.003911955515167458,0.003911955515167933
0.20092330025650468,0.9945070588752339,0.9945070588752348,0.0044923626462179695,0.004492362646218558
0.23101297000831597,0.9936993683825274,0.9936993683825273,0.005157974274616966,0.005157974274617243
0.2656087782946686,0.9927754208012309,0.992775420801232,0.005921015553935414,0.0059210155539350376
0.30538555088334157,0.9917192674364746,0.9917192674364746,0.006795379057637417,0.006795379057637276
0.35111917342151316,0.990513015892485,0.9905130158924839,0.007796826249620565,0.007796826249620525
0.40370172585965547,0.989136669445863,0.9891366694458624,0.008943205714410412,0.008943205714410235
0.4641588833612779,0.9875679782497572,0.9875679782497562,0.010254687334852053,0.010254687334851825
0.533669923120631,0.9857823128616129,0.9857823128616149,0.01175401085998291,0.011754010859982959
0.6135907273413173,0.9837525737267674,0.9837525737267682,0.013466746432857215,0.013466746432857205
0.7054802310718643,0.9814491538711446,0.9814491538711453,0.015421563689284393,0.015421563689284244
0.8111308307896871,0.9788399760702536,0.978839976070253,0.017650505078670095,0.017650505078669984
0.9326033468832199,0.9758906299805591,0.9758906299805595,0.020189258243501304,0.020189258243501436
1.0722672220103233,0.972564638821561,0.9725646388215603,0.02307742185289052,0.023077421852890634
1.2328467394420661,0.9688238886912695,0.9688238886912687,0.026358759550092765,0.0263587595500929
1.4174741629268053,0.9646292557988163,0.9646292557988161,0.030081438098090645,0.030081438098090378
1.6297508346206442,0.9599414669220331,0.9599414669220332,0.03429824897490859,0.034298248974908505
1.8738174228603839,0.9547222252018186,0.954722225201819,0.039066818283601784,0.039066818283602055
2.154434690031884,0.948935625865466,0.9489356258654653,0.04444981868094538,0.04444981868094532
2.4770763559917106,0.9425498736452717,0.9425498736452719,0.050515209872602315,0.050515209872602135
2.8480358684358014,0.9355392949332045,0.9355392949332045,0.057336551727561795,0.05733655172756267
3.2745491628777286,0.9278866132217543,0.9278866132217556,0.06499345661189448,0.06499345661189704
3.7649358067924683,0.9195854273410127,0.9195854273410119,0.07357227507822807,0.0735722750782377
4.328761281083058,0.9106428009757873,0.9106428009757865,0.08316714097164943,0.08316714097168554
4.977023564332112,0.9010818428832836,0.9010818428832796,0.09388153717159511,0.09388153717172981
5.722367659350217,0.8909441351308517,0.8909441351308418,0.10583058004660387,0.1058305800471044
6.579332246575681,0.8802918567745641,0.8802918567745407,0.11914425770540404,0.11914425770725316
7.564633275546289,0.8692094569217678,0.8692094569217433,0.1339718932425341,0.13397189324931066
8.697490026177835,0.8578047557355196,0.8578047557356433,0.15048813937306324,0.15048813939768593
10.0,0.8462093923281209,0.8462093923293801,0.16890084631885155,0.16890084640752967
11.497569953977356,0.8345785874073206,0.8345785874147562,0.1894611824519339,0.18946118276839352
13.219411484660288,0.8230902336863922,0.823090233723179,0.2124764279739184,0.21247642909268788
15.199110829529339,0.8119433518823874,0.8119433520478079,0.23832590251983465,0.23832590643700355
17.47528400007684,0.801355935230844,0.8013559359291391,0.26748051504316755,0.2674805286227699
20.09233002565047,0.7915621305176858,0.7915621333291964,0.300526407863406,0.30052645445635084
23.101297000831593,0.7828085497729486,0.7828085606637508,0.33819304615678636,0.3381932042947555
26.560877829466868,0.7753492606401668,0.7753493014290412,0.38138577399390344,0.38138630449635724
30.538555088334157,0.7694386660805121,0.7694388141707919,0.4312221455717459,0.4312239025206539
35.11191734215131,0.7653210887705795,0.7653216104825655,0.489069971576106,0.48907570612464923
40.37017258596554,0.7632155160172917,0.7632172986362623,0.5565825525696328,0.5566009531089382
46.4158883361278,0.7632938154098213,0.7632997123959777,0.6357222273174515,0.6357800695834572
53.3669923120631,0.7656510262445102,0.765669852730679,0.7287556621817688,0.728932951932821
61.35907273413173,0.7702671338988951,0.7703248738819379,0.8381905573669058,0.8387170647201369
70.54802310718642,0.7769605181872592,0.7771296081813207,0.9666005879048591,0.9681032729478417
81.11308307896873,0.7853327360634271,0.7858020510529188,1.11625825049424,1.1203383707324175
93.26033468832199,0.7947021167230015,0.7959263205486277,1.288504104470011,1.298918410024882
107.22672220103232,0.804025176703584,0.8070007834727382,1.4829410327196932,1.507606626400598
123.28467394420659,0.8118212182646829,0.8185132897675578,1.696988634613346,1.750519664955739
141.74741629268047,0.8161426411825282,0.8300161599884461,1.9268916515746677,2.03226494141631
162.97508346206433,0.8146468589508666,0.8411604693008654,2.1711869044250784,2.358019169027078
187.3817422860385,0.8049190855600722,0.8516352589946222,2.4362198857658215,2.733173889502763
215.44346900318845,0.7856995474875768,0.860919129550862,2.7400141352335643,3.1614414993150453
247.70763559917114,0.7598983299665122,0.8677717118817613,3.1033033725556267,3.639430693112721
284.8035868435802,0.7359532854133406,0.8698264083255758,3.5188881080896275,4.148356563057501
327.45491628777285,0.7206890295161439,0.8642747115049887,3.9410282361717295,4.652849672485214
376.49358067924675,0.713461266703232,0.8496206177964216,4.327608304821263,5.115306896661216
432.8761281083057,0.7106061273781147,0.8267630994960757,4.664051836391694,5.512361914456898
497.70235643321087,0.7095763629967045,0.7985227496975951,4.951507619289559,5.838593290616695
572.236765935022,0.7092150337298494,0.7682542812024744,5.1955987181202845,6.100642541463559
