α,szMFGS,szMFGS′
0.1,0.9972442641524282,0.9972442641524288
0.11497569953977356,0.9968353333626354,0.9968353333626339
0.1321941148466029,0.9963663598696793,0.9963663598696791
0.15199110829529336,0.9958287307604213,0.9958287307604212
0.17475284000076838,0.9952126618755348,0.9952126618755341
0.20092330025650468,0.9945070588752335,0.9945070588752323
0.23101297000831597,0.9936993683825279,0.993699368382527
0.2656087782946686,0.992775420801231,0.9927754208012307
0.30538555088334157,0.9917192674364762,0.9917192674364752
0.35111917342151316,0.9905130158924854,0.9905130158924841
0.40370172585965547,0.9891366694458623,0.9891366694458626
0.4641588833612779,0.9875679782497562,0.9875679782497563
0.533669923120631,0.9857823128616124,0.9857823128616143
0.6135907273413173,0.9837525737267666,0.9837525737267682
0.7054802310718643,0.9814491538711446,0.981449153871145
0.8111308307896871,0.978839976070254,0.9788399760702541
0.9326033468832199,0.9758906299805581,0.9758906299805596
1.0722672220103233,0.9725646388215603,0.9725646388215602
1.2328467394420661,0.9688238886912695,0.9688238886912687
1.4174741629268053,0.9646292557988166,0.964629255798816
1.6297508346206442,0.9599414669220333,0.9599414669220335
1.8738174228603839,0.9547222252018185,0.95472222520182
2.154434690031884,0.9489356258654655,0.948935625865466
2.4770763559917106,0.9425498736452713,0.9425498736452721
2.8480358684358014,0.9355392949332045,0.935539294933204
3.2745491628777286,0.9278866132217539,0.9278866132217555
3.7649358067924683,0.9195854273410131,0.9195854273410131
4.328761281083058,0.9106428009757853,0.9106428009757868
4.977023564332112,0.9010818428832802,0.9010818428832816
5.722367659350217,0.8909441351308435,0.8909441351308416
6.579332246575681,0.8802918567745434,0.8802918567745409
7.564633275546289,0.8692094569217428,0.8692094569217425
8.697490026177835,0.8578047557356441,0.8578047557356425
10.0,0.8462093923293806,0.8462093923293816
11.497569953977356,0.8345785874147574,0.8345785874147573
13.219411484660288,0.8230902337231802,0.8230902337231792
15.199110829529339,0.8119433520478069,0.8119433520478079
17.47528400007684,0.8013559359291371,0.8013559359291396
20.09233002565047,0.7915621333291982,0.7915621333291964
23.101297000831593,0.7828085606637529,0.7828085606637505
26.560877829466868,0.7753493014290387,0.7753493014290384
30.538555088334157,0.7694388141707922,0.7694388141707948
35.11191734215131,0.7653216104825723,0.7653216104825713
40.37017258596554,0.7632172986363319,0.7632172986363306
46.4158883361278,0.763299712396599,0.7632997123965939
53.3669923120631,0.7656698527361001,0.7656698527361013
61.35907273413173,0.7703248739289168,0.770324873928918
70.54802310718642,0.7771296085788386,0.7771296085788367
81.11308307896873,0.7858020543056354,0.7858020543056352
93.26033468832199,0.7959263459986047,0.7959263459986058
107.22672220103232,0.8070009714869203,0.8070009714869201
123.28467394420659,0.8185145830401127,0.8185145830401116
141.74741629268047,0.8300243151315572,0.830024315131557
162.97508346206433,0.841206775541908,0.8412067755419084
187.3817422860385,0.8518669586457357,0.8518669586457344
215.44346900318845,0.861913746571523,0.8619137465715262
247.70763559917114,0.8713233915708847,0.8713233915708849
284.8035868435802,0.8801083335535435,0.8801083335536526
327.45491628777285,0.8882973782975402,0.8882973783053263
376.49358067924675,0.8959253453172893,0.8959253457629303
432.8761281083057,0.9030282793026565,0.9030282994169037
497.70235643321087,0.9096408080536434,0.909641496515525
572.236765935022,0.9157815000918447,0.9157985512160717
657.9332246575682,0.921242674061829,0.9215311264887036
756.463327554629,0.9237254752581873,0.9268688591687817
869.7490026177834,0.9092458201927835,0.9318393904966875
1000.0,0.8271388218878597,0.9364684455218841
1149.7569953977356,0.7448448800905308,0.940779912295355
1321.9411484660286,0.7197411198279657,0.944792236691347
1519.9110829529332,0.7110782470906993,0.9482878910090009
1747.5284000076829,0.7083784278816967,0.9469928664978721
2009.2330025650479,0.7077149771382105,0.9259155584360095
2310.1297000831605,0.7075957007389803,0.8836091695673735
2656.0877829466867,0.7075880959994111,0.8350559100720383
3053.8555088334156,0.7075936342642648,0.789338849602537
3511.191734215131,0.7075937104668005,0.7494250577053966
4037.017258596554,0.7075866485967298,0.7156560112564531
4641.588833612777,0.7075739100177483,0.6874057392014647
5336.699231206308,0.7075571726143456,0.6637994076471175
6135.907273413176,0.7075377909024982,0.6439971847274608
7054.8023107186455,0.70751677296662,0.6272831632357134
8111.308307896872,0.7074948518486464,0.6130759256026246
9326.0334688322,0.7074725574214249,0.6009124795370385
10722.672220103232,0.7074502720802281,0.590426333187588
12328.467394420659,0.7074282710694587,0.5813270866171844
14174.741629268048,0.7074067511986043,0.5733835579089377
16297.508346206434,0.7073858513271725,0.566410502417284
18738.17422860383,0.7073656671137212,0.5602583820689199
21544.346900318822,0.7073462617641876,0.554805547917637
24770.76355991709,0.7073276739654001,0.5499522731027556
28480.35868435799,0.7073099238139093,0.5456161853680095
32745.491628777316,0.7072930172976921,0.5417287533656308
37649.35806792471,0.7072769497187803,0.5382325668249427
43287.612810830615,0.7072617083302973,0.535079216836576
49770.23564332114,0.7072472743834166,0.532227632115217
57223.676593502205,0.7072336247257006,0.5296427638290979
65793.32246575682,0.7072207330547848,0.5272945386399507
75646.3327554629,0.7072085709046039,0.5251570195246508
86974.90026177834,0.7071971084222296,0.5232077286659045
100000.0,0.7071863149796973,0.5214270976098462
