T,szG,sz1DMFGS,sz2DMFGS,sz3DMFGS
0.001,NaN,NaN,NaN,NaN
1.001,0.49999845104178187,0.5,0.5000000000000001,0.5000000000000001
2.001,0.4987611176931198,0.4999999999914201,0.49999999999999983,0.5000000000000001
3.001,0.48859553894668,0.49999996580124795,0.49999999999998046,0.5000000000000004
4.001,0.4660061094405047,0.4999978704982826,0.4999999999418775,0.49999999999999745
5.001,0.43569940095721627,0.4999748054509503,0.49999999316175203,0.49999999999732997
6.001,0.4030438360896591,0.49986983391650175,0.4999998389015208,0.49999999972441556
7.001,0.371330048502136,0.4995803541539657,0.4999984810579065,0.49999999254531036
8.001,0.34206901338562934,0.498990884658166,0.4999918990320806,0.4999999127723872
9.001,0.315741431813546,0.49800209432195564,0.499970396203224,0.4999994161033868
10.001,0.2923248735753305,0.4965455127707818,0.4999168678417925,0.49999735438916043
11.001,0.27158463899254603,0.49458563605100886,0.49980708383828726,0.49999096821659694
12.001,0.2532179447664736,0.4921153492764135,0.49961175652279954,0.4999750471990447
13.001,0.2369199868866169,0.48914912981345726,0.49929947310757355,0.49994138072918737
14.001,0.2224111593253927,0.485716383293658,0.49883959541926415,0.49987870060924366
15.001,0.20944582930189498,0.48185585781617074,0.4982045768600222,0.4997731232308036
16.001,0.19781280762556575,0.47761134774538583,0.49737149800541924,0.4996089537971888
17.001,0.18733241689249083,0.47302857675379906,0.49632285476531396,0.4993696604804957
18.001,0.1778524620718087,0.4681530422162429,0.4950467444673773,0.4990388439149437
19.001,0.16924413840016456,0.4630285945346466,0.4935366240486629,0.49860108002230874
20.001,0.16139830020717233,0.4576965553798024,0.4917907993806457,0.49804257190466406
21.001,0.15422222674342964,0.4521952193184543,0.4898117722610395,0.497351593393953
22.001,0.14763689171013833,0.44655962143587075,0.4876055367241391,0.4965187379497335
23.001,0.14157469024175373,0.4408214850954159,0.4851808858960879,0.49553700331616635
24.001,0.13597756024506655,0.4350092883385242,0.4825487668283585,0.49440174842403983
25.001,0.13079543443798572,0.429148405521956,0.4797217034499638,0.4931105583505106
26.001,0.1259849655304464,0.42326129390698947,0.47671329593180245,0.4916630488560629
27.001,0.1215084751780966,0.417367704287185,0.47353779709247534,0.49006063626321206
28.001,0.11733308554939767,0.41148490138005117,0.4702097618426834,0.4883062925426195
29.001,0.11342999973532303,0.40562788438859715,0.4667437631331033,0.48640430013060143
30.001,0.10977390353838723,0.3998096014306768,0.4631541667348465,0.4843600165153418
31.001,0.10634246640921591,0.3940411538452088,0.4594549569350148,0.4821796550558182
32.001,0.10311592356664792,0.38833198800313995,0.455659605519616,0.4798700857700261
33.001,0.10007672478612839,0.3826900733798835,0.4517809770042452,0.4774386578248677
34.001,0.09720923811379986,0.37712206642693435,0.44783126380359317,0.47489304404275784
35.001,0.0944994989875598,0.3716334603133542,0.4438219458054415,0.47224110678085246
36.001,0.09193499702919594,0.36622872096349524,0.43976376957362473,0.4694907839264447
37.001,0.08950449420210002,0.3609114100460147,0.43566674311358816,0.4666499933948711
38.001,0.0871978691785717,0.35568429570707044,0.43154014277668884,0.46372655434190535
39.001,0.08500598368658635,0.35054945191369535,0.4273925294488002,0.4607281232553321
40.001,0.08292056735361697,0.3455083473007283,0.4232317716652376,0.4576621431282768
41.001,0.08093411817072466,0.3405619244102562,0.41906507372135376,0.4545358040091701
42.001,0.0790398161922041,0.33571067018644524,0.4148990072121979,0.45135601334758274
43.001,0.07723144848717364,0.3309546785484063,0.4107395447420633,0.44812937469589825
44.001,0.07550334368754255,0.3262937058147887,0.4065920948023991,0.4448621734730289
45.001,0.07385031474596018,0.3217272197000916,0.4024615370309892,0.44156036864080106
46.001,0.0722676087389672,0.3172544425470664,0.3983522572426394,0.4382295892816581
47.001,0.07075086273362244,0.31287438940407325,0.39426818176726974,0.43487513519511223
48.001,0.069296064887583,0.3085859015022312,0.3902128107502614,0.43150198074842677
49.001,0.06789952007873695,0.3043876756355819,0.38618925016632577,0.42811478132379
50.001,0.06655781946567926,0.3002782898988645,0.38220024237578676,0.42471788179976433
51.001,0.06526781346831914,0.2962562261921784,0.3782481951141515,0.4213153265894607
52.001,0.06402658773175596,0.29231988985994617,0.3743352088548495,0.41791087083239986
53.001,0.06283144169870447,0.2884676267931908,0.3704631025233867,0.4145079924021151
54.001,0.061679869468212106,0.28469773828910583,0.366633437570746,0.41110990444816553
55.001,0.0605695426628054,0.2810084939301203,0.3628475404363448,0.4077195682401069
56.001,0.05949829506389198,0.27739814271592034,0.3591065234475227,0.4043397061230353
57.001,0.0584641088073124,0.2738649226560116,0.3554113042145362,0.4009728144303454
58.001,0.05746510195829743,0.27040706900715183,0.35176262358831006,0.39762117622999954
59.001,0.05649951730849617,0.2670228213191672,0.34816106225346133,0.39428687380665267
60.001,0.055565712257806155,0.26371042943403455,0.34460705603206754,0.39097180080393856
61.001,0.05466214966099209,0.26046815856650785,0.34110090997474984,0.3876776739696828
62.001,0.05378738953393991,0.25729429357975925,0.3376428113153485,0.3844060444622316
63.001,0.052940081527230703,0.2541871425563354,0.33423284136409687,0.38115830868890876
64.001,0.05211895808582229,0.2511450397530349,0.33087098641204954,0.3779357186581821
65.001,0.051322828223264505,0.2481663480179163,0.3275571477167952,0.37473939183581
66.001,0.05055057184724182,0.2452494607384397,0.3242911506363666,0.37157032050225847
67.001,0.04980113458053165,0.24239280338158062,0.3210727529749078,0.36842938061439034
68.001,0.049073523027827776,0.23959483467952092,0.31790165260014275,0.3653173401788854
69.001,0.048366800444440555,0.23685404750812825,0.3147774943891465,0.36223486714842007
