T,trace
0.001,NaN
0.0011768119524349979,NaN
0.0013848863713938732,NaN
0.0016297508346206436,NaN
0.0019179102616724887,NaN
0.002257019719633919,NaN
0.0026560877829466868,NaN
0.0031257158496882354,NaN
0.0036783797718286343,NaN
0.004328761281083057,NaN
0.0050941380148163806,NaN
0.005994842503189409,NaN
0.007054802310718645,NaN
0.008302175681319744,NaN
0.009770099572992257,NaN
0.011497569953977356,NaN
0.013530477745798068,NaN
0.015922827933410922,NaN
0.01873817422860384,NaN
0.022051307399030457,NaN
0.02595024211399736,NaN
0.030538555088334154,NaN
0.03593813663804628,NaN
0.04229242874389499,NaN
0.049770235643321115,NaN
0.05857020818056667,NaN
0.06892612104349699,NaN
0.08111308307896872,NaN
0.09545484566618342,NaN
0.11233240329780274,NaN
0.1321941148466029,NaN
0.1555676143930472,NaN
0.18307382802953684,NaN
0.2154434690031884,NaN
0.2535364493970112,NaN
0.29836472402833386,NaN
0.35111917342151316,NaN
0.4132012400115337,NaN
0.4862601580065353,NaN
0.5722367659350217,NaN
0.6734150657750821,NaN
0.7924828983539173,0.9999999999999998
0.9326033468832199,1.0
1.0974987654930561,0.9999999999999999
1.2915496650148839,0.9999999999999999
1.5199110829529336,1.0
1.788649529057435,0.9999999999999999
2.1049041445120205,1.0
2.4770763559917106,0.9999999999999999
2.9150530628251765,1.0
3.4304692863149184,1.0
4.0370172585965545,0.9999999999999999
4.7508101621027965,0.9999999999999997
5.590810182512224,0.9999999999999999
6.579332246575681,1.0
7.742636826811269,1.0
9.111627561154892,0.9999999999999998
10.722672220103231,1.0
12.618568830660204,1.0
14.84968262254465,1.0
17.47528400007684,0.9999999999999998
20.565123083486515,1.0
24.20128264794382,1.0
28.48035868435802,0.9999999999999998
33.516026509388425,0.9999999999999998
39.442060594376564,0.9999999999999998
46.4158883361278,0.9999999999999998
54.62277217684343,1.0000000000000002
64.28073117284322,0.9999999999999998
75.64633275546291,0.9999999999999998
89.02150854450383,0.9999999999999996
104.76157527896652,1.0000000000000004
123.28467394420659,1.0
145.082877849594,1.0000000000000002
170.73526474706904,1.0000000000000002
200.9233002565048,1.0000000000000004
236.4489412645407,0.9999999999999996
278.2559402207126,0.9999999999999998
327.45491628777285,0.9999999999999998
385.3528593710531,0.9999999999999999
453.4878508128582,1.0
533.6699231206308,1.0
628.0291441834253,0.9999999999999998
739.0722033525775,1.0000000000000002
869.7490026177834,0.9999999999999998
1023.5310218990259,0.9999999999999999
1204.5035402587823,1.0
1417.4741629268049,0.9999999999999999
1668.100537200059,1.0
1963.0406500402705,0.9999999999999998
2310.1297000831605,0.9999999999999999
2718.58824273294,0.9999999999999999
3199.2671377973843,1.0
3764.9358067924672,0.9999999999999998
4430.621457583882,0.9999999999999997
5214.008287999684,0.9999999999999998
6135.907273413176,1.0
7220.809018385464,0.9999999999999999
8497.534359086447,0.9999999999999999
10000.0,0.9999999999999997
