t,fid
0.0,0.4999999999999999
100.0,0.9400338971319079
200.0,0.7215942816408182
300.0,0.738862906064204
400.0,0.9409908118029016
500.0,0.6736104482093876
600.0,0.907447871484082
700.0,0.8660563020539324
800.0,0.7532036562240549
900.0,0.964545409901601
1000.0,0.7482518254751105
1100.0,0.8988417035520039
1200.0,0.9296847598581693
1300.0,0.7767102236560518
1400.0,0.9736745310158033
1500.0,0.8367242280144968
1600.0,0.9020252743871071
1700.0,0.9445706670237684
1800.0,0.8325605174213625
1900.0,0.9469411126680115
2000.0,0.906274352219867
2100.0,0.8874027779011655
2200.0,0.9769262190096837
2300.0,0.8685581374653798
2400.0,0.9644996984787598
2500.0,0.9251681485670883
2600.0,0.9044206754503765
2700.0,0.972513543784888
2800.0,0.9075164094298278
2900.0,0.957858490762223
3000.0,0.9544072091855508
3100.0,0.9201214625763837
3200.0,0.9752498921932943
3300.0,0.9323484380995279
3400.0,0.9484058637148427
3500.0,0.9773513482267029
3600.0,0.9281613291459063
3700.0,0.9856220141747977
3800.0,0.9464204931953554
3900.0,0.9609452208074327
4000.0,0.9741456986378121
4100.0,0.9486043963832611
4200.0,0.9733336329245309
4300.0,0.9712326360874437
4400.0,0.9586923412549644
4500.0,0.9868766414844266
4600.0,0.9570932455681284
4700.0,0.9787811490567954
4800.0,0.9762023975935193
4900.0,0.9640216983032572
5000.0,0.9881693686920032
5100.0,0.968142160370236
5200.0,0.9821198356768154
5300.0,0.9805262997806526
5400.0,0.9729467207090826
5500.0,0.9842738072152009
5600.0,0.9796302294534079
5700.0,0.9770447339226481
5800.0,0.9913336286842529
5900.0,0.9738526850223559
6000.0,0.9915845909358744
6100.0,0.9804317306682159
6200.0,0.9836546048240074
6300.0,0.9884877604133901
6400.0,0.9821346899103143
6500.0,0.9882778053237443
6600.0,0.9884862165731534
6700.0,0.9845630547698311
6800.0,0.9916666993222962
6900.0,0.985531739417223
7000.0,0.9884227171610745
7100.0,0.991973734983272
7200.0,0.9852425394104027
7300.0,0.994812687895922
7400.0,0.987150778203317
7500.0,0.9924248466998492
7600.0,0.9908660329319959
7700.0,0.9902509957065204
7800.0,0.9918142203353835
7900.0,0.9929112588830735
8000.0,0.9902020122670218
8100.0,0.9956734932090647
8200.0,0.9900114302248585
8300.0,0.9949728697512592
8400.0,0.9926583355214984
8500.0,0.9925878892620229
8600.0,0.9952236136357386
8700.0,0.9926778525499922
8800.0,0.995148917135352
8900.0,0.9943997463524188
9000.0,0.9941779902070507
9100.0,0.995098653221984
9200.0,0.9949834943503667
9300.0,0.9941501325624746
9400.0,0.9969880999421812
9500.0,0.9936385746195635
9600.0,0.9975091098524261
9700.0,0.9945091311011719
9800.0,0.9965303033198935
9900.0,0.9958679403067833
10000.0,0.9960730771818457
10100.0,0.9962625020704351
10200.0,0.9969121007324796
10300.0,0.995982848093382
10400.0,0.9974990086136778
10500.0,0.9961999177958292
10600.0,0.9970724982023608
10700.0,0.9972791144426025
10800.0,0.9964545150986246
10900.0,0.998073200870922
11000.0,0.9966248099221472
11100.0,0.9979878780461315
11200.0,0.9971866667502662
11300.0,0.997726098019057
11400.0,0.9974269897258727
11500.0,0.9980978573673613
11600.0,0.9972579620811749
11700.0,0.9986415418822134
11800.0,0.9972729691961381
11900.0,0.9986434073858541
12000.0,0.9977139430069195
12100.0,0.9982707700995839
12200.0,0.9982531449528237
12300.0,0.998186546447977
12400.0,0.9984322328409216
12500.0,0.998428634176013
12600.0,0.9984056077330528
12700.0,0.9985532794557099
12800.0,0.9985744257271306
12900.0,0.9984098780230893
13000.0,0.9989696229265451
13100.0,0.9982949859726324
13200.0,0.9991809545994417
13300.0,0.9984205648898111
13400.0,0.9991042879170482
13500.0,0.9986587711962507
13600.0,0.9990287882173202
13700.0,0.9987872338893417
13800.0,0.9991532404354758
13900.0,0.9988022494627059
14000.0,0.9992739413124943
14100.0,0.9988800622839137
14200.0,0.999220577614885
14300.0,0.9990933447128696
14400.0,0.999098923809225
14500.0,0.999299477829057
14600.0,0.9990945923292427
14700.0,0.999364977575889
14800.0,0.999176908679585
14900.0,0.9993684180727422
15000.0,0.9992227447637869
15100.0,0.9994466165958863
15200.0,0.9992038816512705
15300.0,0.9995683102234846
15400.0,0.9992110460276962
15500.0,0.9996052826169795
15600.0,0.9992938317265896
15700.0,0.9995577762932814
15800.0,0.9994076037285068
15900.0,0.9995330273028644
16000.0,0.9994769687593
16100.0,0.9995664573818741
16200.0,0.9995078531998377
16300.0,0.9995884793066091
16400.0,0.99956010893633
16500.0,0.9995632163327517
16600.0,0.9996500581745367
16700.0,0.999534714084576
16800.0,0.9997191703570827
16900.0,0.9995486266194765
17000.0,0.999734568566323
17100.0,0.9995889792397631
17200.0,0.9997345471139358
17300.0,0.9996190433141963
17400.0,0.999760110713977
17500.0,0.9996327222283298
17600.0,0.9997890900014206
17700.0,0.999656522368939
17800.0,0.9997869003525519
17900.0,0.999703916522972
18000.0,0.999764937422128
18100.0,0.9997560246367276
18200.0,0.9997575144686831
18300.0,0.9997876448377152
18400.0,0.9997675779781501
18500.0,0.9998046686766664
18600.0,0.9997742540251947
18700.0,0.9998286621886386
18800.0,0.9997705944221171
18900.0,0.999860124885672
19000.0,0.9997710237508749
19100.0,0.9998781953501716
19200.0,0.9997861466521031
19300.0,0.9998777089639751
19400.0,0.9998096394428239
19500.0,0.9998751199106442
19600.0,0.999829109577214
19700.0,0.9998807263248256
19800.0,0.9998429098590527
19900.0,0.99988520901148
20000.0,0.999859484804743
