T,sG,s1DMFGS,s2DMFGS,s3DMFGS,GS1D,GS2D,GS3D
0.001,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0011768119524349979,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0013848863713938732,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0016297508346206436,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0019179102616724887,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.002257019719633919,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0026560877829466868,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0031257158496882354,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0036783797718286343,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.004328761281083057,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.0050941380148163806,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.005994842503189409,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.007054802310718645,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.008302175681319744,NaN,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.009770099572992257,-0.5,NaN,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.011497569953977356,-0.5,-0.39891182151993154,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.013530477745798068,-0.5,-0.398913804895614,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.015922827933410922,-0.5,-0.3989155527059272,NaN,NaN,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.01873817422860384,-0.5,-0.3989170778683177,-0.4606020253620818,-0.4297846110250208,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.022051307399030457,-0.5,-0.39891839916148164,-0.4606070383209492,-0.429793811962664,0.39888830755405463,0.4604397614889497,0.42943898114872403
0.02595024211399736,-0.5,-0.39891953779817646,-0.4606113289549198,-0.429801675727864,0.39888830755405463,0.4604397614889497,0.42943898114872403
