1.000000000000000021e-02 7.503177220315591089e-01
1.873817422860384052e-02 7.505653118494302056e-01
3.511191734215130672e-02 7.491807578594225081e-01
6.579332246575679555e-02 7.483417297947601021e-01
1.232846739442065853e-01 7.444546652703359912e-01
2.310129700083159154e-01 7.259274408821048130e-01
4.328761281083057244e-01 6.564099106844413223e-01
8.111308307896868408e-01 5.190247431868503236e-01
1.519911082952933201e+00 3.621248641273792646e-01
2.848035868435799145e+00 2.359225411419544893e-01
